Date,Description,Debit,Credit
01/01/2026,SALARY ACME CORP,,250000
02/01/2026,SWIGGY ORDER #1245,450,
03/01/2026,NETFLIX.COM SUBSCRIPTION,649,
04/01/2026,SPOTIFY PREMIUM,119,
05/01/2026,ACH D- HDFC BANK LTD-REFHDFC000001,43782,
06/01/2026,ELECTRICITY BILL BESCOM,2200,
07/01/2026,UPI-John Doe-john@okhdfcbank,1500,
08/01/2026,UBER TRIP,320,
10/01/2026,AMAZON ORDER,1299,
12/01/2026,DIRECT DEBIT-DR-BAJAJ FINANCE LTD-PFAKE0000012345,34628,
15/01/2026,IRCTC TICKET,845,
18/01/2026,APOLLO PHARMACY,699,
20/01/2026,RENT TRANSFER,25000,
25/01/2026,CREDIT CARD BILL PAYMENT,12500,
28/01/2026,ATM WDL CASH,5000,
01/02/2026,SALARY ACME CORP,,250000
02/02/2026,ZOMATO ORDER,380,
03/02/2026,NETFLIX.COM SUBSCRIPTION,649,
05/02/2026,ACH D- HDFC BANK LTD-REFHDFC000002,43782,
06/02/2026,BROADBAND BILL,999,
07/02/2026,UPI-Jane Smith-jane@okaxis,950,
09/02/2026,MAKEMYTRIP FLIGHT,7890,
12/02/2026,NACH D- BAJAJ FINANCE-REFBJ000001,34628,
14/02/2026,BIGBASKET,1520,
18/02/2026,MEDPLUS,340,
21/02/2026,RECHARGE JIO,349,
25/02/2026,CREDIT CARD BILL PAYMENT,13800,
01/03/2026,SALARY ACME CORP,,250000
03/03/2026,NETFLIX.COM SUBSCRIPTION,649,
05/03/2026,ACH D- HDFC BANK LTD-REFHDFC000003,43704,
10/03/2026,SWIGGY ORDER #2211,560,
12/03/2026,BFOTP-BFLFAKE000001-OTP15936,34628,
15/03/2026,TATA POWER ELECTRICITY,2100,
18/03/2026,PHONEPE WALLET TOPUP,1000,
22/03/2026,UBER TRIP,410,
25/03/2026,CREDIT CARD BILL PAYMENT,14250,
28/03/2026,ATM WDL CASH,4000,
